user_name,user_id,user_age,user_gender,user_province,user_city,user_introduce,comment,comment_id,praise,date,year,month,day,hour,new_user_id,province_name,cut,emotion_score
L5276,2023834320,0,0,0,100.0,5276,太好听了,6034513713.0,4,2024-01-06 01:52:00,2024,1,6,1,2023834320,,太 好听 了,0.1908884232601349
代号-决,1469989790,14,1,320000,320500.0,你眼里的星辰大海是我从未见过的皓月明空,我见玫瑰在黎明时绽放，天地间燃起新的希望,6034414688.0,8,2024-01-05 23:09:00,2024,1,5,23,1469989790,江苏省,我见 玫瑰 在 黎明 时 绽放   天地间 燃起 新 的 希望,0.9884862376771293
正版小檀儿,117039551,0,0,0,100.0,你在桥上看风景，看风景人在楼上看你。,新的一年，要先爱自己喔！,6032086013.0,2,2024-01-01 19:40:00,2024,1,1,19,117039551,,新 的 一年   要 先爱 自己 喔  ,0.4553099535530255
别看我名字呐,9025953502,11,2,0,100.0,,qq没有 来网易云听,6031928452.0,1,2024-01-01 15:05:00,2024,1,1,15,9025953502,,  没有   来 网易 云 听,0.7974768758810401
何梓熙很nice,1761933437,33,1,430000,430400.0,你指尖跃动的电光，是我此生不变的信仰，唯我超电磁炮永世长存你指尖跃动的电光，是我此生不变的信仰，唯我超电磁炮永世长存。,我也是，哈哈（?ò ? ó?）,6031853415.0,1,2024-01-01 12:49:00,2024,1,1,12,1761933437,湖南省,我 也 是   哈哈   ò   ó  ,0.4737672181921908
天將明YS,3397994055,21,1,460000,469032.0,一生奔赴一场大无畏梦境，世人轻慢或艳羡着你。,听着琉璃跨年[多多大笑],6031541053.0,17,2023-12-31 23:55:00,2023,12,31,23,3397994055,海南省,听 着 琉璃 跨年   多多 大笑  ,0.8323502558974734
烧煤油的小笼包,572377197,19,1,110000,110101.0,心在甲烷中炽烈，一盏蓝焰冬已竭,航天爱好者特有的年度曲目,6030779046.0,0,2023-12-30 18:05:00,2023,12,30,18,572377197,北京市,航天 爱好者 特有 的 年度 曲目,0.7752362226710803
啊萸er,553987804,0,0,1000000,1000100.0,我是凭我的幻想在周游,从初中喜欢到大一[多多比耶],6030137001.0,2,2023-12-29 12:22:00,2023,12,29,12,553987804,,从 初中 喜欢 到 大 一   多多 比耶  ,0.8179945301115076
杯中春露冷,1350585278,20,1,440000,440100.0,巧者劳而知者忧，无能者无所求,世间荣落重逡巡，我独丘园守四春。,6028919182.0,7,2023-12-27 12:28:00,2023,12,27,12,1350585278,广东省,世间 荣落重 逡巡   我独 丘园 守四春  ,0.9998817720134567
am阿默o,272048376,22,2,510000,510700.0,,很好听,6028786327.0,1,2023-12-27 01:10:00,2023,12,27,1,272048376,四川省,很 好听,0.48121642447271173
扬羔发发_,2072273679,21,2,310000,310101.0,,好一股牵丝戏的味儿啊哈哈哈哈[大笑],6028659286.0,8,2023-12-26 21:51:00,2023,12,26,21,2072273679,上海市,好 一股 牵丝戏 的 味儿 啊 哈哈哈哈   大笑  ,0.9943214705129085
见一眼秋桃刹那春,566533196,18,2,510000,510100.0,,好久没听到琉璃了！这个副歌和词真的从第一遍就喜欢上了。。从初中喜欢到现在,6027263751.0,12,2023-12-24 19:55:00,2023,12,24,19,566533196,四川省,好久没 听到 琉璃 了   这个 副歌 和 词 真的 从 第一遍 就 喜欢 上 了   从 初中 喜欢 到 现在,0.8924296747732589
棠花吹雪,532109807,0,0,610000,610100.0,,看来不是我一个人这么觉得，后面的rap的确每次听到都有鸡皮疙瘩。期待一个无rap重制版,6026850342.0,5,2023-12-24 01:21:00,2023,12,24,1,532109807,陕西省,看来 不是 我 一个 人 这么 觉得   后面 的   的确 每次 听到 都 有 鸡皮疙瘩   期待 一个 无   重 制版,0.08842566501152516
踏云_VoeS,8586835309,0,0,0,100.0,,蠡与璃,6026476085.0,0,2023-12-23 12:02:00,2023,12,23,12,8586835309,,蠡与璃,0.8182313426953005
踏云_VoeS,8586835309,0,0,0,100.0,,很有意思的解释,6026474186.0,0,2023-12-23 12:01:00,2023,12,23,12,8586835309,,很 有意思 的 解释,0.7427674062286611
魈君子,3378386964,0,1,440000,440100.0,,刚进入网易云第1首播放的音乐（琉璃）时隔三年又回来听[可爱],6026155708.0,2,2023-12-22 19:35:00,2023,12,22,19,3378386964,广东省,刚 进入 网易 云 第   首 播放 的 音乐   琉璃   时隔 三年 又 回来 听   可爱  ,0.9840159002056503
梦醉昭烨,1519825613,0,1,410000,411000.0,但愿总有人间一两风，偏偏填我十万八千梦,感谢大家[多多大笑]马上就要去看考场了，再听一遍,6026030850.0,0,2023-12-22 14:05:00,2023,12,22,14,1519825613,河南省,感谢 大家   多多 大笑   马上 就要 去 看 考场 了   再 听 一遍,0.9581738094184321
梦醉昭烨,1519825613,0,1,410000,411000.0,但愿总有人间一两风，偏偏填我十万八千梦,嗯嗯，大家都会成功的,6026027467.0,0,2023-12-22 14:02:00,2023,12,22,14,1519825613,河南省,嗯 嗯   大家 都 会 成功 的,0.6781733148508485
梦醉昭烨,1519825613,0,1,410000,411000.0,但愿总有人间一两风，偏偏填我十万八千梦,[多多大笑]收到,6026025652.0,0,2023-12-22 14:02:00,2023,12,22,14,1519825613,河南省,  多多 大笑   收到,0.7183869407814872
白白的萝卜_X,6441223801,0,2,0,100.0,,明天研究生考试，祝你上岸[多多可怜],6025991988.0,0,2023-12-22 12:15:00,2023,12,22,12,6441223801,,明天 研究生 考试   祝 你 上岸   多多 可怜  ,0.9814026281627206
欣坐水瓶,100562771,33,1,420000,420100.0,,我是考公，希望考研的小伙伴们成功,6025684966.0,0,2023-12-21 20:06:00,2023,12,21,20,100562771,湖北省,我 是 考公   希望 考研 的 小伙伴 们 成功,0.9992450882313024
studyhardforthedream,1401743455,0,1,0,100.0,,从2020年到现在这首歌快听了一千遍了，临姐所有歌曲里面个人最爱的歌！,6025633456.0,3,2023-12-21 17:56:00,2023,12,21,17,1401743455,,从   年 到 现在 这 首歌 快 听 了 一千遍 了   临姐 所有 歌曲 里面 个人 最爱 的 歌  ,0.997308080495084
studyhardforthedream,1401743455,0,1,0,100.0,,加一！,6025632469.0,1,2023-12-21 17:55:00,2023,12,21,17,1401743455,,加一  ,0.483455882352941
五有十八,469609954,0,0,0,100.0,很好的一个介绍,加油加油，你们加油,6025464355.0,0,2023-12-21 08:51:00,2023,12,21,8,469609954,,加油 加油   你们 加油,0.9985630869920382
五有十八,469609954,0,0,0,100.0,很好的一个介绍,又来盖楼了啊,6025464331.0,1,2023-12-21 08:50:00,2023,12,21,8,469609954,,又 来 盖楼 了 啊,0.5
天將明YS,3397994055,21,1,460000,469032.0,一生奔赴一场大无畏梦境，世人轻慢或艳羡着你。,连续四年的年度歌曲,6025337163.0,18,2023-12-20 23:57:00,2023,12,20,23,3397994055,海南省,连续 四年 的 年度 歌曲,0.93958220955573
夏有乔木-jxcc,100108929,0,2,350000,350200.0,大梦一场,灰原穷！！！夺…恨…不…天…懂？,6025272409.0,1,2023-12-20 22:23:00,2023,12,20,22,100108929,福建省,灰原 穷   夺   恨   不   天   懂  ,0.34161826414774543
秒针失格,1529456131,20,2,510000,511500.0,,第19楼[多多比耶],6024377467.0,1,2023-12-19 10:29:00,2023,12,19,10,1529456131,四川省,第   楼   多多 比耶  ,0.65030873384397
秒针失格,1529456131,20,2,510000,511500.0,,好嘟，谢谢[憨笑],6023674907.0,1,2023-12-17 20:52:00,2023,12,17,20,1529456131,四川省,好嘟   谢谢   憨笑  ,0.8167074796982036
慕远容玺,478582087,0,2,440000,440200.0,,加油,6023601389.0,0,2023-12-17 17:51:00,2023,12,17,17,478582087,广东省,加油,0.9047619047619047
盐梭鱼梨,557080114,0,2,0,100.0,“情有独钟的是轻狂年岁，独上高楼宣苍龙来会”——《焦骨》本命银临、子弥、慕寒，墙头不才、司夏、贰婶……,能不能出一个无rap版，虽然我已经听惯了，但不好安利呀,6023517091.0,9,2023-12-17 14:16:00,2023,12,17,14,557080114,,能 不能 出 一个 无   版   虽然 我 已经 听惯 了   但 不好 安利 呀,0.2736121242108198
天將明YS,3397994055,21,1,460000,469032.0,一生奔赴一场大无畏梦境，世人轻慢或艳羡着你。,主创说里有,6023304252.0,3,2023-12-17 00:50:00,2023,12,17,0,3397994055,海南省,主创 说里 有,0.2183496714936486
秒针失格,1529456131,20,2,510000,511500.0,,我怎么记得评论区之前临子也评论了一个自在随心，怎么不见了啊[流泪],6023130798.0,2,2023-12-16 19:36:00,2023,12,16,19,1529456131,四川省,我 怎么 记得 评论 区 之前 临子 也 评论 了 一个 自 在 随心   怎么 不见 了 啊   流泪  ,0.6033570232660045
梦醉昭烨,1519825613,0,1,410000,411000.0,但愿总有人间一两风，偏偏填我十万八千梦,加油加油,6022408287.0,0,2023-12-15 10:22:00,2023,12,15,10,1519825613,河南省,加油 加油,0.9878422480679183
幽晓雪,348381457,0,0,0,100.0,,是一场美丽的梦境啊，诉说自己的心情吧，自叹人生的命运坎坷生活，自我安慰自己吧,6022162843.0,0,2023-12-14 21:16:00,2023,12,14,21,348381457,,是 一场 美丽 的 梦境 啊   诉说 自己 的 心情 吧   自叹 人生 的 命运 坎坷 生活   自我安慰 自己 吧,0.9999985489790746
烧煤油的小笼包,572377197,19,1,110000,110101.0,心在甲烷中炽烈，一盏蓝焰冬已竭,是的，50w小飞机[多多耍酷],6021985952.0,0,2023-12-14 19:01:00,2023,12,14,19,572377197,北京市,是 的   小 飞机   多多 耍酷  ,0.6669967128188558
天將明YS,3397994055,21,1,460000,469032.0,一生奔赴一场大无畏梦境，世人轻慢或艳羡着你。,2F？,6021972291.0,0,2023-12-14 18:31:00,2023,12,14,18,3397994055,海南省, ,0.5262327818078083
烧煤油的小笼包,572377197,19,1,110000,110101.0,心在甲烷中炽烈，一盏蓝焰冬已竭,今晚jslc有苞米任务[多多耍酷],6021830975.0,1,2023-12-14 10:54:00,2023,12,14,10,572377197,北京市,今晚   有 苞米 任务   多多 耍酷  ,0.704945976046445
阔步河山清旷,1815215077,0,0,130000,130100.0,,好好好,6021798121.0,1,2023-12-14 09:10:00,2023,12,14,9,1815215077,河北省,好好 好,0.6931978425614437
药小泽,6371238698,0,0,0,100.0,也许这就是音乐的魅力吧,加油啊啊啊啊我是两天考四级[流泪],6021713826.0,0,2023-12-14 01:16:00,2023,12,14,1,6371238698,,加油 啊啊啊 啊 我 是 两天 考 四级   流泪  ,0.9943537071311191
辣鸡洋的甜道长,3237326027,0,0,350000,350100.0,,我玩的是音音，害死了两个最爱我的男人[流泪][流泪][流泪],6020984446.0,0,2023-12-13 13:21:00,2023,12,13,13,3237326027,福建省,我 玩 的 是 音音   害死 了 两个 最爱 我 的 男人   流泪   流泪   流泪  ,0.9138322011983836
本座没有得中二病,1507335625,0,2,0,100.0,来如雷霆收震怒，罢如江海凝清光,"到""秀逸山岚，今古潮汐""那段甚至听出了一点史诗感的大气",6020181716.0,31,2023-12-11 23:00:00,2023,12,11,23,1507335625,,到   秀逸 山岚   今古 潮汐   那段 甚至 听出 了 一点 史诗 感 的 大气,0.9988732890082856
风离Fahaxiki,1361276862,23,1,330000,330100.0,“白裙红衣的姑娘桥上婀娜”,谢谢你[爱心][爱心] 愿我们都有奔赴未知和热爱的勇气,6020077637.0,3,2023-12-11 19:43:00,2023,12,11,19,1361276862,浙江省,谢谢 你   爱心   爱心   愿 我们 都 有 奔赴 未知 和 热爱 的 勇气,0.9968364815538618
炫上云霄-,8495179369,0,0,0,100.0,,生日快乐?,6020021434.0,1,2023-12-11 17:32:00,2023,12,11,17,8495179369,,生日快乐  ,0.9606373884526408
啵灵啵灵盖,2117156881,17,2,410000,411600.0,社会主义好青年,月亮坠入,6020006733.0,1,2023-12-11 16:51:00,2023,12,11,16,2117156881,河南省,月亮 坠入,0.9152800586288998
炫上云霄-,8495179369,0,0,0,100.0,,钻石,6020009819.0,0,2023-12-11 16:44:00,2023,12,11,16,8495179369,,钻石,0.1515151515151515
炫上云霄-,8495179369,0,0,0,100.0,,自在随心,6020003785.0,2,2023-12-11 16:23:00,2023,12,11,16,8495179369,,自 在 随心,0.7499999999999999
炫上云霄-,8495179369,0,0,0,100.0,,昨晚梦到银临姐姐了[可爱],6019958633.0,1,2023-12-11 14:05:00,2023,12,11,14,8495179369,,昨晚 梦到 银临 姐姐 了   可爱  ,0.9403350994543257
梦醉昭烨,1519825613,0,1,410000,411000.0,但愿总有人间一两风，偏偏填我十万八千梦,[大哭]哈哈，我也浪费好多时间，第一次考没经验，坚持坚持！,6019674106.0,1,2023-12-10 21:31:00,2023,12,10,21,1519825613,河南省,  大哭   哈哈   我 也 浪费 好多 时间   第一次 考没 经验   坚持 坚持  ,0.6461852289504451
梦醉昭烨,1519825613,0,1,410000,411000.0,但愿总有人间一两风，偏偏填我十万八千梦,嗯嗯一起加油,6019671827.0,1,2023-12-10 21:27:00,2023,12,10,21,1519825613,河南省,嗯 嗯 一起 加油,0.9047619047619047
梦醉昭烨,1519825613,0,1,410000,411000.0,但愿总有人间一两风，偏偏填我十万八千梦,加油加油,6019672761.0,1,2023-12-10 21:27:00,2023,12,10,21,1519825613,河南省,加油 加油,0.9878422480679183
白猫123,137473432,0,0,0,100.0,,哈哈哈哈我也是要考研了听《琉璃》找找力量。前期浪费太多时间了，知道今年已经考不上了，不过还是打算坚持到最后一天。明年再努力[大哭],6019569531.0,2,2023-12-10 17:46:00,2023,12,10,17,137473432,,哈哈哈哈 我 也 是 要 考研 了 听   琉璃   找 找 力量   前期 浪费 太 多 时间 了   知道 今年 已经 考不上 了   不过 还是 打算 坚持 到 最后 一天   明年 再 努力   大哭  ,0.9999268791118026
雾深-Lik,4992791732,16,2,520000,520100.0,路上见识世界，途中认识自己,加油加油加油加油,6019453216.0,1,2023-12-10 13:11:00,2023,12,10,13,4992791732,贵州省,加油 加油 加油 加油,0.9998317824926402
#NAME?,49200079,27,1,350000,350100.0,有很多事 ，不用解释，时间会让我懂事；傻瓜才在年轻时候不做傻事，羡慕别人有故事。,一生是漫长又瑰奇的瞬息，何谓枯荣又何谓云泥。像孤舟巡游 不为逝水追惜，在初逢灯火 在别时钟磬，自在随心。,6019379478.0,10,2023-12-10 10:24:00,2023,12,10,10,49200079,福建省,一生 是 漫长 又 瑰奇 的 瞬息   何谓 枯荣 又 何谓 云泥   像 孤舟 巡游   不 为 逝水 追惜   在 初逢 灯火   在 别 时钟 磬   自 在 随心  ,0.9988509341032223
北葵1912,2064128952,0,2,370000,370100.0,,[流泪][流泪][流泪],6019340429.0,1,2023-12-10 08:03:00,2023,12,10,8,2064128952,山东省,  流泪   流泪   流泪  ,0.9810873029651069
明憂山河,5085974276,17,2,140000,140400.0,一片清歌付黄昏，乱山残雪夜明烛,浮图塔宝铎和鸣！肖铎的铎是取自于此嘛?,6019293217.0,2,2023-12-10 02:25:00,2023,12,10,2,5085974276,山西省,浮 图塔 宝铎 和 鸣   肖铎 的 铎 是 取自 于 此 嘛  ,0.9580212705307843
苏子瞻激吹bot,5181275451,0,2,320000,320100.0,,我来啦,6019217170.0,3,2023-12-09 23:47:00,2023,12,9,23,5181275451,江苏省,我来 啦,0.5262327818078083
Cheese1010,1342502222,0,0,0,100.0,,我也好喜欢 小学就喜欢她ww,6019012164.0,1,2023-12-09 17:29:00,2023,12,9,17,1342502222,,我 也好 喜欢   小学 就 喜欢 她  ,0.9468632003751032
爱吃松子的大鱼,132140454,27,1,340000,340100.0,一个懵懂的人，在音乐的世界里，找寻自我，沉溺其中,我买了一个专辑，38元,6018833377.0,1,2023-12-09 10:02:00,2023,12,9,10,132140454,安徽省,我 买 了 一个 专辑   元,0.3100608059651975
梦醉昭烨,1519825613,0,1,410000,411000.0,但愿总有人间一两风，偏偏填我十万八千梦,还有两星期就要考研了?希望大家都会成功,6018532517.0,60,2023-12-08 19:51:00,2023,12,8,19,1519825613,河南省,还有 两 星期 就要 考研 了   希望 大家 都 会 成功,0.9687435843106488
月奚乐兮,601002660,25,0,450000,450100.0,喜欢很廉价，不喜欢更更廉价,直接2元购买单曲,6018307874.0,4,2023-12-08 13:49:00,2023,12,8,13,601002660,广西壮族自治区,直接   元 购买 单曲,0.46792922053966124
Sola_________,420148989,0,1,110000,110108.0,,西安场唱了琉璃，我真的太满足了[多多大笑],6018304438.0,2,2023-12-08 13:43:00,2023,12,8,13,420148989,北京市,西安 场唱 了 琉璃   我 真的 太 满足 了   多多 大笑  ,0.8624275401793376
八嘎呀鹿呀嘎八,8664409911,0,0,0,100.0,,你是漫步者耳机嘛？,6017167187.0,0,2023-12-06 07:49:00,2023,12,6,7,8664409911,,你 是 漫步者 耳机 嘛  ,0.559667545997368
杯中春露冷,1350585278,20,1,440000,440100.0,巧者劳而知者忧，无能者无所求,这首歌则是陪我走过了高三，都很有意义,6016975849.0,1,2023-12-05 21:12:00,2023,12,5,21,1350585278,广东省,这 首歌 则 是 陪 我 走过 了 高三   都 很 有 意义,0.9840820651637603
痴痴辣条,360269767,20,1,1000000,1002900.0,网抑云,一生奔赴一场大无畏梦境。,6016600989.0,1,2023-12-05 08:34:00,2023,12,5,8,360269767,,一生 奔赴 一场 大无畏 梦境  ,0.9892249290292118
猫体鱼鳞,1336704770,19,2,0,100.0,??????,对对我也好喜欢这段,6016563404.0,1,2023-12-05 04:03:00,2023,12,5,4,1336704770,,对 对 我 也好 喜欢 这 段,0.8296153670058466
studyhardforthedream,1401743455,0,1,0,100.0,,二胡那部分确实也好听,6016507902.0,1,2023-12-05 00:23:00,2023,12,5,0,1401743455,,二胡 那 部分 确实 也好 听,0.6878725998059455
studyhardforthedream,1401743455,0,1,0,100.0,,十分赞同，尤其是“秣陵城初夏夜”那一段,6016507076.0,4,2023-12-05 00:22:00,2023,12,5,0,1401743455,,十分 赞同   尤其 是   秣陵城 初夏 夜   那 一段,0.6878160333338658
猫体鱼鳞,1336704770,19,2,0,100.0,??????,每段都很喜欢，没有一句是不好听的……,6016457287.0,15,2023-12-04 23:37:00,2023,12,4,23,1336704770,,每段 都 很 喜欢   没有 一句 是 不好 听 的  ,0.19470076558169302
余己一人,532531460,0,2,0,100.0,于万人中万幸得以相逢,可是我没有奔赴这场梦境的勇气,6016423024.0,1,2023-12-04 22:29:00,2023,12,4,22,532531460,,可是 我 没有 奔赴 这场 梦境 的 勇气,0.9744079032561186
na兔兔_,533710688,0,1,0,100.0,,西安场在现场，太幸福了,6016007934.0,3,2023-12-03 23:39:00,2023,12,3,23,533710688,,西安 场 在 现场   太 幸福 了,0.40839977348316414
危焕夜,1370204876,0,1,610000,610100.0,,西安现场感觉太棒了,6015675804.0,9,2023-12-03 12:41:00,2023,12,3,12,1370204876,陕西省,西安 现场 感觉 太棒了,0.3562723590637087
_曲风和,1592357827,0,2,0,100.0,,西安场太好听了???,6015486999.0,3,2023-12-03 01:25:00,2023,12,3,1,1592357827,,西安 场 太 好听 了  ,0.11267718663255599
听惊蛰静寂成谷雨,4906191246,0,1,0,100.0,无,真的好喜欢银临姐姐,6015426861.0,8,2023-12-03 00:04:00,2023,12,3,0,4906191246,,真的 好 喜欢 银临 姐姐,0.9103345225054988
听惊蛰静寂成谷雨,4906191246,0,1,0,100.0,无,西安场好幸福，不虚此行,6015424114.0,14,2023-12-03 00:03:00,2023,12,3,0,4906191246,,西安 场好 幸福   不虚此行,0.9009882778992663
银临小仙女,250903847,26,2,440000,440300.0,银临小仙女是我的！,在无垠天地，自在随心,6015051430.0,2,2023-12-02 11:17:00,2023,12,2,11,250903847,广东省,在 无垠 天地   自 在 随心,0.9480172210473521
我会永远爱捕梦网,498665299,20,0,710000,710500.0,风,有没有人跟我一样喜欢最后那一段二胡的！！,6014612489.0,4,2023-12-01 13:26:00,2023,12,1,13,498665299,台湾省,有没有 人 跟 我 一样 喜欢 最后 那 一段 二胡 的  ,0.7208466162894757
Septemberorange,3417907723,21,2,610000,610100.0,他应该带着一束花 一壶酒 一份爱 一腔热血,一样一样,6014356684.0,1,2023-12-01 02:08:00,2023,12,1,2,3417907723,陕西省,一样 一样,0.5262327818078083
958hudu,8070778857,20,2,320000,320100.0,,一生奔赴一场大无畏梦境??,6013144986.0,3,2023-11-28 18:53:00,2023,11,28,18,8070778857,江苏省,一生 奔赴 一场 大无畏 梦境  ,0.9892249290292118
loloffy,497162910,0,0,0,100.0,,突然发现“轻慢或艳羡着你”和“怎甘心扬汤止沸”是一样的,6012855691.0,1,2023-11-28 00:34:00,2023,11,28,0,497162910,,突然 发现   轻慢 或 艳羡 着 你   和   怎 甘心 扬汤止沸   是 一样 的,0.043120055677650315
红颜枯坐,1358926526,21,2,520000,520300.0,风物迢迢梦有时,这里面没有男声啊，说唱还是临子自己呀,6012623640.0,1,2023-11-27 15:30:00,2023,11,27,15,1358926526,贵州省,这 里面 没有 男声 啊   说唱 还是 临子 自己 呀,0.7474717933510209
得卿谐也,1480385443,22,2,510000,510100.0,好奇怪，我连你衣服的褶皱也爱。,咦，为什么我听到前面几句之后自动跳到rap片段了？重启之后也是这样，是音源出问题了吗？,6010519998.0,1,2023-11-23 18:46:00,2023,11,23,18,1480385443,四川省,咦   为什么 我 听到 前面 几句 之后 自动 跳 到   片段 了   重启 之后 也 是 这样   是 音源 出 问题 了 吗  ,0.11576560983251949
studyhardforthedream,1401743455,0,1,0,100.0,,出高考成绩的那天临姐发布的这首歌，目前是我最喜欢也是听的最多的一首歌，已经快一千遍了！,6010365110.0,4,2023-11-23 10:08:00,2023,11,23,10,1401743455,,出 高考 成绩 的 那天 临姐 发布 的 这 首歌   目前 是 我 最 喜欢 也 是 听 的 最 多 的 一首歌   已经 快 一千遍 了  ,0.9996582594167992
studyhardforthedream,1401743455,0,1,0,100.0,,毕竟三专主题曲，大概率会有的,6010364147.0,0,2023-11-23 10:07:00,2023,11,23,10,1401743455,,毕竟 三专 主题曲   大 概率 会 有 的,0.6619879063843177
白鸟浮滓_HRay,504496365,0,1,1000000,1004000.0,,是的 已经开始期待明年的巡演了[多多大哭],6009442301.0,1,2023-11-21 14:11:00,2023,11,21,14,504496365,,是 的   已经 开始 期待 明年 的 巡演 了   多多 大哭  ,0.9953953836909508
涯涯涯涯涯烬,319679313,0,2,0,100.0,啊～大脑在颤抖,看长沙现场之前感觉自己对银临其实只是有种“爷青回”滤镜，谈不上多喜爱；看完之后却有超乎预期的感动。真就像中场妖扬在视频里说的，她就像琉璃一样，剔透、灵动且能折射出梦幻般的七彩光辉。我从她的音乐里找到一些潇洒面对生活的勇气，毕竟人生不过奔赴一场大无畏梦境。,6009256179.0,6,2023-11-21 00:02:00,2023,11,21,0,319679313,,看 长沙 现场 之前 感觉 自己 对银临 其实 只是 有种   爷青回   滤镜   谈不上 多喜爱   看 完 之后 却 有 超乎 预期 的 感动   真 就 像 中场 妖扬 在 视频 里 说 的   她 就 像 琉璃 一样   剔透   灵动 且 能 折射出 梦幻般 的 七彩 光辉   我 从 她 的 音乐 里 找到 一些 潇洒 面对 生活 的 勇气   毕竟 人生 不过 奔赴 一场 大无畏 梦境  ,0.9999995101594029
再将将,361673107,0,2,450000,450100.0,垃圾桶,滴！长沙现场打卡[多多可怜],6009138426.0,1,2023-11-20 20:27:00,2023,11,20,20,361673107,广西壮族自治区,滴   长沙 现场 打卡   多多 可怜  ,0.1216443855197088
棠梨煎雪柚子茶,1655891787,24,1,410000,411500.0,一入古风深似海，从此流行是路人,长沙现场回来打卡！,6009061308.0,2,2023-11-20 16:51:00,2023,11,20,16,1655891787,河南省,长沙 现场 回来 打卡  ,0.06930898619668924
Quiet170429,476390929,0,1,440000,440300.0,,心似白云常自在，意如流水任东西,6008786161.0,0,2023-11-19 23:26:00,2023,11,19,23,476390929,广东省,心似 白云 常自 在   意如 流水 任 东西,0.6241887907063391
酒的爻,1519131627,0,0,0,100.0,,长沙！,6008455417.0,2,2023-11-19 10:41:00,2023,11,19,10,1519131627,,长沙  ,0.29999999999999993
沐兮攸宁,1846966728,0,2,0,100.0,识得君音，三生有幸,长沙场吃的太好了！,6008436966.0,5,2023-11-19 09:47:00,2023,11,19,9,1846966728,,长沙 场 吃 的 太好了  ,0.4460228744716722
澄岚明雪,1567362969,19,1,610000,611000.0,Full,一样,6008115921.0,1,2023-11-18 19:04:00,2023,11,18,19,1567362969,陕西省,一样,0.5262327818078083
沐雨沫杰,387990910,0,1,0,100.0,,这首都3年了吗[生病],6007988279.0,1,2023-11-18 13:52:00,2023,11,18,13,387990910,,这 首都   年 了 吗   生病  ,0.2733958775655876
阑兰蓝岚拦,3245996969,0,0,0,100.0,随心听 随心享 随心念,琉璃直击心底,6007804023.0,2,2023-11-18 00:49:00,2023,11,18,0,3245996969,,琉璃 直击 心底,0.9864770862860468
阑兰蓝岚拦,3245996969,0,0,0,100.0,随心听 随心享 随心念,第五百遍了吧,6007796470.0,1,2023-11-18 00:40:00,2023,11,18,0,3245996969,,第五 百遍 了 吧,0.2593232054102269
